qid,full_question,subid,subquestion
Problemtwo,"A consultant wishes to model the weekly price data shown in the first plot of Figure 2.
Figure 2: Price data, exponential fit and power spectrum.
Let
    N = 520,     T = 10,     Δt = T/N,
and denote the jth price by P_j and the corresponding time (in years) by
    t_j = j/52 = jΔt    for j = 0, 1, 2, ..., N-1.

Assume that the data values are already stored in two N × 1 MATLAB arrays
P = [P_0, P_1, ..., P_{N-1}]^T and t = [t_0, t_1, ..., t_{N-1}]^T.
(Thus, P_j = P(j+1) and t_j = t(j+1).)
i) Explain how to use MATLAB to estimate the exponential growth underlying the price of this asset (shown by the dashed curve) P_j ≈ α * exp(β * t_j)    for j = 0, ..., N-1.
ii) It is suspected there is a periodic component y; in the data. Let Pj= ae +yj, for j =0,...,N—1, using the values of a and 8 found in part i). The discrete Fourier transform is N-1 Tk = So yje PRIN for k =0,1,..., N-1. j=0 where i=(-1)^0.5
a) Show that GN—k = J, = complex conjugate of % for k=1,2,...,N—-1.
b) Let n = 260 so that N = 2n. Show that
Yj =a + S- [a;, cos(2rkt;/T) + bj, sin(Qrkt ;/T)]
k=l
for 7 = 0, 1, 2,..., N—1 and express the real coefficients ag, and by in
terms of the (complex) transform %j,. You may assume the inversion
formula
{82
ot ~ i2njk/N
Yj —_ N » YRE 7 .
c) Define the power spectrum in terms of the Discrete Fourier Trans-
form jy, fork =0,...,N—-1.
d) Justify or refute the claim that the data in Figure 3 has both yearly
and monthly cycles of roughly the same intensity.",2iia,"a) Show that GN—k = J, = complex conjugate of % for k=1,2,...,N—-1."
Problemtwo,"A consultant wishes to model the weekly price data shown in the first plot of Figure 2.
Figure 2: Price data, exponential fit and power spectrum.
Let
    N = 520,     T = 10,     Δt = T/N,
and denote the jth price by P_j and the corresponding time (in years) by
    t_j = j/52 = jΔt    for j = 0, 1, 2, ..., N-1.

Assume that the data values are already stored in two N × 1 MATLAB arrays
P = [P_0, P_1, ..., P_{N-1}]^T and t = [t_0, t_1, ..., t_{N-1}]^T.
(Thus, P_j = P(j+1) and t_j = t(j+1).)
i) Explain how to use MATLAB to estimate the exponential growth underlying the price of this asset (shown by the dashed curve) P_j ≈ α * exp(β * t_j)    for j = 0, ..., N-1.
ii) It is suspected there is a periodic component y; in the data. Let Pj= ae +yj, for j =0,...,N—1, using the values of a and 8 found in part i). The discrete Fourier transform is N-1 Tk = So yje PRIN for k =0,1,..., N-1. j=0 where i=(-1)^0.5
a) Show that GN—k = J, = complex conjugate of % for k=1,2,...,N—-1.
b) Let n = 260 so that N = 2n. Show that
Yj =a + S- [a;, cos(2rkt;/T) + bj, sin(Qrkt ;/T)]
k=l
for 7 = 0, 1, 2,..., N—1 and express the real coefficients ag, and by in
terms of the (complex) transform %j,. You may assume the inversion
formula
{82
ot ~ i2njk/N
Yj —_ N » YRE 7 .
c) Define the power spectrum in terms of the Discrete Fourier Trans-
form jy, fork =0,...,N—-1.
d) Justify or refute the claim that the data in Figure 4 has both yearly
and monthly cycles of roughly the same intensity.",2iib,"b) Let n = 260 so that N = 2n. Show that
Yj =a + S- [a;, cos(2rkt;/T) + bj, sin(Qrkt ;/T)]
k=l
for 7 = 0, 1, 2,..., N—1 and express the real coefficients ag, and by in
terms of the (complex) transform %j,. You may assume the inversion
formula
{82
ot ~ i2njk/N
Yj —_ N » YRE 7 ."
Problemtwo,"A consultant wishes to model the weekly price data shown in the first plot of Figure 2.
Figure 2: Price data, exponential fit and power spectrum.
Let
    N = 520,     T = 10,     Δt = T/N,
and denote the jth price by P_j and the corresponding time (in years) by
    t_j = j/52 = jΔt    for j = 0, 1, 2, ..., N-1.

Assume that the data values are already stored in two N × 1 MATLAB arrays
P = [P_0, P_1, ..., P_{N-1}]^T and t = [t_0, t_1, ..., t_{N-1}]^T.
(Thus, P_j = P(j+1) and t_j = t(j+1).)
i) Explain how to use MATLAB to estimate the exponential growth underlying the price of this asset (shown by the dashed curve) P_j ≈ α * exp(β * t_j)    for j = 0, ..., N-1.
ii) It is suspected there is a periodic component y; in the data. Let Pj= ae +yj, for j =0,...,N—1, using the values of a and 8 found in part i). The discrete Fourier transform is N-1 Tk = So yje PRIN for k =0,1,..., N-1. j=0 where i=(-1)^0.5
a) Show that GN—k = J, = complex conjugate of % for k=1,2,...,N—-1.
b) Let n = 260 so that N = 2n. Show that
Yj =a + S- [a;, cos(2rkt;/T) + bj, sin(Qrkt ;/T)]
k=l
for 7 = 0, 1, 2,..., N—1 and express the real coefficients ag, and by in
terms of the (complex) transform %j,. You may assume the inversion
formula
{82
ot ~ i2njk/N
Yj —_ N » YRE 7 .
c) Define the power spectrum in terms of the Discrete Fourier Trans-
form jy, fork =0,...,N—-1.
d) Justify or refute the claim that the data in Figure 5 has both yearly
and monthly cycles of roughly the same intensity.",2iic,"c) Define the power spectrum in terms of the Discrete Fourier Trans-
form jy, fork =0,...,N—-1."
Problemtwo,"A consultant wishes to model the weekly price data shown in the first plot of Figure 2.
Figure 2: Price data, exponential fit and power spectrum.
Let
    N = 520,     T = 10,     Δt = T/N,
and denote the jth price by P_j and the corresponding time (in years) by
    t_j = j/52 = jΔt    for j = 0, 1, 2, ..., N-1.

Assume that the data values are already stored in two N × 1 MATLAB arrays
P = [P_0, P_1, ..., P_{N-1}]^T and t = [t_0, t_1, ..., t_{N-1}]^T.
(Thus, P_j = P(j+1) and t_j = t(j+1).)
i) Explain how to use MATLAB to estimate the exponential growth underlying the price of this asset (shown by the dashed curve) P_j ≈ α * exp(β * t_j)    for j = 0, ..., N-1.
ii) It is suspected there is a periodic component y; in the data. Let Pj= ae +yj, for j =0,...,N—1, using the values of a and 8 found in part i). The discrete Fourier transform is N-1 Tk = So yje PRIN for k =0,1,..., N-1. j=0 where i=(-1)^0.5
a) Show that GN—k = J, = complex conjugate of % for k=1,2,...,N—-1.
b) Let n = 260 so that N = 2n. Show that
Yj =a + S- [a;, cos(2rkt;/T) + bj, sin(Qrkt ;/T)]
k=l
for 7 = 0, 1, 2,..., N—1 and express the real coefficients ag, and by in
terms of the (complex) transform %j,. You may assume the inversion
formula
{82
ot ~ i2njk/N
Yj —_ N » YRE 7 .
c) Define the power spectrum in terms of the Discrete Fourier Trans-
form jy, fork =0,...,N—-1.
d) Justify or refute the claim that the data in Figure 6 has both yearly
and monthly cycles of roughly the same intensity.",2iid,"d) Justify or refute the claim that the data in Figure 2 has both yearly
and monthly cycles of roughly the same intensity."
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (2).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3i,What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (3).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3iia,evaluate √det(C) efficiently;
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (4).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3iib,evaluate p(x) efficiently.
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (5).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3iiia,"Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)"
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (6).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3iiib,"Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F."
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (7).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3iiicA,Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (2).
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (8).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3iiicB,What can you say about the accuracy of the Monte Carlo method?
Problemthree,"The random vector X = [X₁, X₂, ..., Xₙ]ᵀ ∈ ℝⁿ is normally distributed with mean μ = [μ₁, μ₂, ..., μₙ]ᵀ ∈ ℝⁿ and covariance matrix C ∈ ℝⁿˣⁿ. Thus, X has the probability density function
p(x) = exp(−(x − μ)ᵀ C⁻¹ (x − μ)/2) / √((2π)ⁿ det(C))  for x ∈ ℝⁿ.
i)What tests should you apply to check that a provided matrix C is a valid covariance matrix for use in calculating p(x)?
ii)Explain how the Cholesky factorization C = RᵀR can be used to 
a) evaluate √det(C) efficiently;
b) evaluate p(x) efficiently.
iii) From now on, suppose for simplicity that n = 2, and consider the problem of evaluating the expected value of f(X₁, X₂),
E[f(X₁, X₂)] = ∬ f(x₁, x₂)p(x₁, x₂) dx₁ dx₂ The standard normal pdf and cdf functions are:
ϕ(x) = 1/√(2π) · e^(−x²/2),   Φ(y) = ∫[−∞ to y] ϕ(x) dx
a) Show that the substitution x = μ + Rᵀy, where R is the Cholesky factor of C, gives p(x₁, x₂) = ϕ(y₁)ϕ(y₂) / (R₁₁ R₂₂)
b) Transform the expected value to E[f(X₁, X₂)] = ∬[0 to 1] F(z₁, z₂) dz₁ dz₂ and find an expression for the function F.
c) Consider now the Monte Carlo method.
A) Briefly describe how you would use the Monte Carlo method to compute a numerical approximation to the integral (9).
B) What can you say about the accuracy of the Monte Carlo method?
C) How could you improve the accuracy of the Monte Carlo method?",3iiicC,How could you improve the accuracy of the Monte Carlo method?
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^0.",4i,Carefully explain what the 'initial' conditions are for this problem.
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^1.",4ii,Carefully explain what the boundary conditions are for this problem.
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^2.",4iiiaA,"At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S²."
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^3.",4iiiaB,Give a forward difference approximation of O(Δt) for ∂V/∂t.
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^4.",4iiibA,"Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j."
