Actual question number,Question number,AI answer,Correct answer,Mark,Shortcoming
opt-2,11,"\text{Let } f(\mathbf{x}) = -x_1x_2x_3, \; c_1(\mathbf{x}) = x_1 + x_2 + x_3 - 40, \text{ and } c_2(\mathbf{x}) = x_1 + x_2 - x_3. \\
\text{The Lagrangian is } L(\mathbf{x}, \boldsymbol{\lambda}) = -x_1x_2x_3 + \lambda_1(x_1 + x_2 + x_3 - 40) + \lambda_2(x_1 + x_2 - x_3). \\
\text{We are given } \mathbf{x}^* = (10, 10, 20)^T, \; \lambda_1^* = 150, \text{ and } \lambda_2^* = 50. \\
\text{The gradients are } \nabla f(\mathbf{x}) = (-x_2x_3, -x_1x_3, -x_1x_2)^T, \\
\nabla c_1(\mathbf{x}) = (1,1,1)^T, \; \nabla c_2(\mathbf{x}) = (1,1,-1)^T. \\
\text{The Hessian of the Lagrangian is } \nabla^2 L(\mathbf{x}, \boldsymbol{\lambda}) = 
\begin{bmatrix}
0 & -x_3 & -x_2 \\
-x_3 & 0 & -x_1 \\
-x_2 & -x_1 & 0
\end{bmatrix}. \\
\text{At } \mathbf{x}^*, \; \nabla^2 L(\mathbf{x}^*, \boldsymbol{\lambda}^*) =
\begin{bmatrix}
0 & -20 & -10 \\
-20 & 0 & -10 \\
-10 & -10 & 0
\end{bmatrix}. \\
\text{The tangent space is } T(\mathbf{x}^*) = \{\mathbf{d} \in \mathbb{R}^3 : \nabla c_1(\mathbf{x}^*)^T \mathbf{d} = 0, \nabla c_2(\mathbf{x}^*)^T \mathbf{d} = 0\}, \text{ which gives } d_1 + d_2 + d_3 = 0 \text{ and } d_1 + d_2 - d_3 = 0. \\
\text{Solving this, we get } d_3 = 0 \text{ and } d_1 = -d_2. \text{ Thus, } T(\mathbf{x}^*) = \{(-d_2, d_2, 0)^T : d_2 \in \mathbb{R}\}. \\
\text{For } \mathbf{d} \in T(\mathbf{x}^*), \; \mathbf{d}^T \nabla^2 L(\mathbf{x}^*, \boldsymbol{\lambda}^*) \mathbf{d} = (-d_2, d_2, 0)
\begin{bmatrix}
0 & -20 & -10 \\
-20 & 0 & -10 \\
-10 & -10 & 0
\end{bmatrix}
\begin{bmatrix}
-d_2 \\
d_2 \\
0
\end{bmatrix} \\
= (-d_2, d_2, 0)
\begin{bmatrix}
-20d_2 \\
20d_2 \\
0
\end{bmatrix} = 40d_2^2 > 0 \text{ for } d_2 \neq 0. \text{ Therefore, } \mathbf{x}^* \text{ is a strict local minimizer}.
","\text{The Lagrangian function is } L(\mathbf{x}, \boldsymbol{\lambda}) = f(\mathbf{x}) + \lambda_1 c_1(\mathbf{x}) + \lambda_2 c_2(\mathbf{x}), \text{ with gradient and Hessian} \\
\nabla L(\mathbf{x}, \boldsymbol{\lambda}) = 
\begin{pmatrix}
-x_2x_3 + \lambda_1 + \lambda_2 \\
-x_1x_3 + \lambda_1 + \lambda_2 \\
-x_1x_2 + \lambda_1 - \lambda_2
\end{pmatrix}, \quad
\nabla^2 L(\mathbf{x}, \boldsymbol{\lambda}) = 
\begin{pmatrix}
0 & -x_3 & -x_2 \\
-x_3 & 0 & -x_1 \\
-x_2 & -x_1 & 0
\end{pmatrix}, \quad
\nabla^2 L(\mathbf{x}^*, \boldsymbol{\lambda}^*) = 
\begin{pmatrix}
0 & -20 & -10 \\
-20 & 0 & -10 \\
-10 & -10 & 0
\end{pmatrix}. \\
\text{The matrix } \nabla^2 L(\mathbf{x}^*, \boldsymbol{\lambda}^*) \text{ is not positive definite. So, to calculate the reduced Hessian, we want to find } Z^* = (\alpha, \beta, \gamma)^T \in \mathbb{R}^{3 \times 1} \\
\text{such that } (Z^*)^T (\nabla c_1(\mathbf{x}^*) \; \nabla c_2(\mathbf{x}^*)) = 
(Z^*)^T \begin{pmatrix}
1 & 1 \\
1 & 1 \\
1 & -1
\end{pmatrix} = (\alpha + \beta + \gamma, \alpha + \beta - \gamma) = (0, 0). \\
\text{This gives } \gamma = 0, \; \alpha = -\beta. \text{ So } Z^* = (-\beta, \beta, 0)^T, \; \beta \neq 0. \text{ Choose } Z^* = (-1, 1, 0)^T. \\
\text{The reduced Hessian is } W^* = (Z^*)^T \nabla^2 L(\mathbf{x}^*, \boldsymbol{\lambda}^*) Z^* = (-1, 1, 0)
\begin{pmatrix}
0 & -20 & -10 \\
-20 & 0 & -10 \\
-10 & -10 & 0
\end{pmatrix}
\begin{pmatrix}
-1 \\
1 \\
0
\end{pmatrix} = 40. \\
\text{Since 40 > 0, by the second-order sufficient optimality condition, } \mathbf{x}^* \text{ is a strict local minimizer}.
",5,"1.uses an equivalent but more direct vector substitution method into the Hessian, which works well for this small-dimensional problem but is less scalable 2.No mention of definiteness of full Hessian 3.No formal notation for projection matrix or null space basis"
opt-3-i,12,"L(x_1, x_2, \lambda) = e^{-2(x_1 + x_2)} + \lambda (e^{x_1} + e^{x_2} - 4)

\frac{\partial L}{\partial x_1} = -2e^{-2(x_1 + x_2)} + \lambda e^{x_1} = 0 \\
\frac{\partial L}{\partial x_2} = -2e^{-2(x_1 + x_2)} + \lambda e^{x_2} = 0 \\
\frac{\partial L}{\partial \lambda} = e^{x_1} + e^{x_2} - 4 = 0

\Rightarrow \lambda e^{x_1} = \lambda e^{x_2} \Rightarrow e^{x_1} = e^{x_2} \Rightarrow x_1 = x_2

2e^{x_1} = 4 \Rightarrow e^{x_1} = 2 \Rightarrow x_1 = x_2 = \ln 2

\text{Substitute into first equation: } \lambda = \frac{2e^{-4\ln 2}}{e^{\ln 2}} = \frac{2}{16 \cdot 2} = \frac{1}{16}

\Rightarrow z^* = (\ln 2, \ln 2), \quad \lambda = \frac{1}{16}
","c_1(x_1, x_2) := e^{x_1} + e^{x_2} - 4 \\
L(x, \lambda_1) = e^{-2(x_1 + x_2)} + \lambda_1(e^{x_1} + e^{x_2} - 4)

\text{Stationary condition: } \nabla_z L(z^*, \lambda_1^*) = 0, \quad c_1(z^*) = 0

-2e^{-2(z_1^* + z_2^*)} + \lambda_1^* e^{z_1^*} = 0 \quad \text{(1)} \\
-2e^{-2(z_1^* + z_2^*)} + \lambda_1^* e^{z_2^*} = 0 \quad \text{(2)} \\
e^{z_1^*} + e^{z_2^*} - 4 = 0 \quad \text{(3)}

\text{From (1)-(2): } \lambda_1^* (e^{z_2^*} - e^{z_1^*}) = 0 \Rightarrow z_1^* = z_2^*

\text{From (3): } 2e^{z_1^*} = 4 \Rightarrow e^{z_1^*} = 2 \Rightarrow z_1^* = z_2^* = \log 2

\text{From (1): } \lambda_1^* = 2^{-4}

\Rightarrow z^* = (\log 2, \log 2), \quad \lambda_1^* = 2^{-4}
",4,1.Constraint Activeness Not Justified 2.Lack of Symbolic Simplification Insight 3.Missing Labeling and Structuring of Conditions
opt-3-ii,13,"z^* = (\ln 2, \ln 2) \text{ is the only constrained stationary point for the problem (P2)}.

\text{From the Lagrangian analysis in part (i), we derived the equations:} \\
-2e^{-2(x_1 + x_2)} + \lambda e^{x_1} = 0, \\
-2e^{-2(x_1 + x_2)} + \lambda e^{x_2} = 0, \\
e^{x_1} + e^{x_2} - 4 \leq 0.

\text{The first two equations imply } x_1 = x_2 \text{ since } \lambda \neq 0. \\
\text{Substituting } x_1 = x_2 \text{ into the constraint: } 2e^{x_1} \leq 4 \Rightarrow e^{x_1} \leq 2.

\text{If } e^{x_1} < 2 \Rightarrow x_1 < \ln 2 \Rightarrow e^{x_1} + e^{x_2} < 4, 
\text{ constraint is inactive, and } \lambda = 0.

\text{But } \lambda = 0 \Rightarrow -2e^{-2(x_1 + x_2)} = 0, \text{ which is impossible.}

\text{Therefore, constraint must be active: } e^{x_1} + e^{x_2} = 4 \Rightarrow x_1 = x_2 = \ln 2.

\text{Hence } z^* = (\ln 2, \ln 2) \text{ is the only constrained stationary point.}
","\text{Suppose the constraint is not active at } z^*, \text{ i.e., } e^{z_1^*} + e^{z_2^*} - 4 < 0.

\text{Then the first-order necessary optimality condition requires:}

\nabla_z (e^{-2(z_1^* + z_2^*)}) = \begin{pmatrix} -2e^{-2(z_1^* + z_2^*)} \\ -2e^{-2(z_1^* + z_2^*)} \end{pmatrix}
= \begin{pmatrix} 0 \\ 0 \end{pmatrix}

\text{which is not possible.}

\text{Hence, } z^* = (\log 2, \log 2) \text{ is the only constrained stationary point.}
",5,1.slightly verbose and indirect 2. less concise
opt-3-iii,14,"\text{To show that } z^* = (\ln 2, \ln 2) \text{ is a global minimizer, we observe that the objective function } 
f(x_1, x_2) = e^{-2(x_1 + x_2)} \text{ is convex since its Hessian is positive semidefinite: } 
\nabla^2 f(x_1, x_2) = 4e^{-2(x_1 + x_2)} 
\begin{pmatrix}
1 & 1 \\
1 & 1
\end{pmatrix}.

\text{The constraint function } g(x_1, x_2) = e^{x_1} + e^{x_2} - 4 \text{ is also convex, since its Hessian is positive definite: } 
\nabla^2 g(x_1, x_2) = 
\begin{pmatrix}
e^{x_1} & 0 \\
0 & e^{x_2}
\end{pmatrix}.

\text{Since the objective function is convex, the constraint set is convex, and the problem is a convex optimization problem, 
any local minimum is a global minimum. We found that } z^* = (\ln 2, \ln 2) \text{ is the unique constrained stationary point, 
which must be the global minimizer.}

\text{Therefore, } z^* = (\ln 2, \ln 2) \text{ is the global minimizer for the problem (P2).}
","\text{It is given that } (P_2) \text{ is a convex problem, and we have found } \lambda_1^* > 0 
\text{ for the active inequality constraint.} 

\text{By the KKT sufficient optimality conditions, the constrained stationary point } 
z^* \text{ is a global minimiser.}
",4,1.Lack of Explicit Verification of Convexity 2.Skipped Mention of Convex Constraint Set 3.Did Not Justify Uniqueness of Solution
opt-3-iv,15,"\text{To establish that } z^* = (\ln 2, \ln 2) \text{ is the unique global minimizer for (P2), 
we verify the convexity of the objective and constraint functions.}

\text{The objective function } f(x_1, x_2) = e^{-2(x_1 + x_2)} \text{ has a Hessian } 
\nabla^2 f(x_1, x_2) = 4e^{-2(x_1 + x_2)} 
\begin{pmatrix}
1 & 1 \\
1 & 1
\end{pmatrix},
\text{ which is positive semidefinite, proving } f \text{ is convex.}

\text{The constraint function } g(x_1, x_2) = e^{x_1} + e^{x_2} - 4 
\text{ has a Hessian } \nabla^2 g(x_1, x_2) = 
\begin{pmatrix}
e^{x_1} & 0 \\
0 & e^{x_2}
\end{pmatrix}, 
\text{ which is positive definite, confirming } g \text{ is convex.}

\text{The constraint set defined by } g(x_1, x_2) \leq 0 \text{ is therefore convex.}

\text{The Lagrangian analysis in part (i) yielded a unique constrained stationary point } 
z^* = (\ln 2, \ln 2).

\text{Since the problem is convex, any local minimum is a global minimum, 
and since we have a unique stationary point, it must be the unique global minimizer.}

\text{Thus, } z^* = (\ln 2, \ln 2) \text{ is the unique global minimizer for the problem (P2).}
","\text{Suppose that } y^* = (y_1^*, y_2^*) \text{ is another global minimizer for } (P_2). 

\text{Then, it is a regular local minimizer because } \nabla c_1(y^*) = (e^{y_1^*}, e^{y_2^*})^\top \neq 0. 

\text{So, by the first-order necessary optimality conditions, 
it must be a constrained stationary point for } (P_2). 

\text{By part (ii), } z^* \text{ is the only constrained stationary point for } (P_2), 
\text{ so } z^* = y^*.

\text{Note that the constraint cannot be active at } y^*. \text{ Otherwise, 
the first-order necessary optimality condition gives:}

\nabla_{y^*}(e^{-2(y_1^* + y_2^*)}) = 
\begin{pmatrix}
-2e^{-2(y_1^* + y_2^*)} \\
-2e^{-2(y_1^* + y_2^*)}
\end{pmatrix}
= 
\begin{pmatrix}
0 \\
0
\end{pmatrix}, 
\text{ which is not possible.}

\text{Hence, } z^* \text{ is the unique global minimizer for } (P_2).
",5,1.No Direct Use of Necessary Conditions for Other Points 2.Did Not Explicitly Use Gradient Contradiction
fin-1-i-a,16,"\text{The problem requires finding the largest covariance matrix } C \text{ that can be stored in the 20 MB cache memory of the workstation using IEEE double precision.}

\text{Since IEEE double precision uses 8 bytes per element, and the matrix } C \text{ is of size } n \times n, \text{ the total memory required is } 8n^2 \text{ bytes.}

\text{We convert 20 MB to bytes: } 20 \times 2^{20} \text{ bytes. Setting } 8n^2 \leq 20 \times 2^{20}, \text{ we solve for } n: n^2 \leq \frac{20 \times 2^{20}}{8} = 2.5 \times 2^{20} = 2.5 \times 1024^2.

\text{Taking the square root, } n \leq \sqrt{2.5 \times 1024^2} \approx 1612.45.

\text{Since } n \text{ must be an integer, the largest possible value for } n \text{ is } 1612. \text{ Therefore, the largest covariance matrix } C \text{ that can be stored in the cache memory is } 1612 \times 1612.
","\text{IEEE double precision uses 8 bytes per floating point number and the } n \times n \text{ matrix } C \text{ has } n^2 \text{ elements, so for the cache memory}

8n^2 = 20 \text{ MB.}

\text{Using } 1 \text{ MB} = 2^{20} \text{ bytes,}

8n^2 = 20 \times 2^{20} \Rightarrow n^2 = 10 \times 2^{18} \Rightarrow n = 1.61908616 \times 10^3,\\
\text{so } n = 1619 \text{ or more sensibly } n \approx 1600.

\text{Alternatively, using } 1 \text{ MB} = 10^6 \text{ bytes,}

8n^2 = 20 \times 10^6 \Rightarrow n^2 = \frac{5}{42} \times 10^6 \Rightarrow n = 1.58113883 \times 10^3,\\
\text{so } n = 1581.

\text{A covariance matrix must be symmetric } (C^T = C \text{ or } C_{ji} = C_{ij} \text{ for all } i \neq j), \text{ so only the diagonal elements and either the strict lower or strict upper triangle needs to be stored, requiring } \frac{n(n+1)}{2} \text{ elements.}

\text{Using } 1 \text{ MB} = 2^{20} \text{ bytes, this gives}

8 \times \frac{n(n+1)}{2} = 20 \times 2^{20} \Rightarrow n^2 \approx 5 \times 2^{20} \Rightarrow n \approx 2289.
",3,1.Lack of multiple unit systems consideration 2.No discussion of matrix symmetry 3.No mention of rounding or practical integer values 4.No upper bound scenario
fin-1-i-b,17,"\text{The workstation has an 8-core processor running at 2.4 GHz, and each core performs 4 floating-point operations per clock cycle.}

\text{Thus, each core performs } 2.4 \times 10^9 \text{ cycles/sec } \times 4 \text{ flops/cycle } = 9.6 \times 10^9 \text{ flops/sec.}

\text{Since there are 8 cores, the total speed is } 8 \times 9.6 \times 10^9 \text{ flops/sec } = 76.8 \times 10^9 \text{ flops/sec } = 76.8 \text{ Gflops/sec.}

\text{Therefore, the estimated speed of the workstation is 76.8 Gflops/sec.}
","\text{The speed of the workstation is estimated as}

\begin{align*}
\text{Speed} &= \text{GHz} \times 10^9 \times \text{number cores} \times \text{flops per cycle per core} \\
&= 2.4 \times 10^9 \times 8 \times 4 = 7.68 \times 10^{10} \text{ flops/sec} \\
&= 76.8 \text{ Gflops/sec}.
\end{align*}

\text{GHz and Gflops both use factors of } 10^9, \text{ not } 2^{30} \text{ which is used for memory (Cache, RAM).}
",5,1.need Explicit expression of the speed formula 2.need Clarification about units
fin-1-i-c,18,"\text{To solve the linear system } Cx = b, \text{ we can use LU factorization, which has a computational cost of } \frac{2}{3}n^3 + O(n^2) \text{ flops.}

\text{We want to find the largest } n \text{ such that this operation can be performed in 1 minute (60 seconds) on the workstation with a speed of 76.8 Gflops/sec.}

\text{Thus, we have the inequality } \frac{2}{3}n^3 \leq 76.8 \times 10^9 \text{ flops/sec } \times 60 \text{ sec.}

\text{Solving for } n, \text{ we get } n^3 \leq \frac{3}{2} \times 76.8 \times 10^9 \times 60 = 6912 \times 10^9.

\text{Taking the cube root, } n \leq \sqrt[3]{6912 \times 10^9} \approx 1905.7.

\text{Since } n \text{ must be an integer, the largest value of } n \text{ is 1905.}

\text{Therefore, the largest value of } n \text{ so that the linear system } Cx = b \text{ can be solved in 1 minute is 1905.}
","\text{As } C \text{ is a non-singular covariance matrix, } C \text{ must be positive definite, so the major cost in solving the linear system } Cx = b \text{ is the Cholesky factorization requiring } \frac{n^3}{3} \text{ flops.}

\text{Thus in 1 minute = 60 seconds,}

\frac{n^3}{3} = 76.8 \times 10^9 \times 60 \Rightarrow n^3 = 1.3824 \times 10^{13} \Rightarrow n \approx 24,000.
",3,1.Incorrect factorization method 2.Incorrect operation count 3.Missing physical interpretation
fin-1-i-d,19,"\text{The simulation requires evaluating the multivariate density function at } N \text{ vectors, each involving the inverse of the covariance matrix } C \text{ of size } n \times n.

\text{The most computationally expensive part is computing } C^{-1}, \text{ which is typically done using LU factorization with a cost of } \frac{2}{3}n^3 + O(n^2) \text{ flops.}

\text{Since this operation is performed once for each of the } N \text{ vectors, the total cost is } N\left(\frac{2}{3}n^3 + O(n^2)\right) = \frac{2}{3}Nn^3 + O(Nn^2) \text{ flops.}

\text{Analyst 1's claim of } 2Nn^3/3 \text{ flops is a leading-order approximation, ignoring lower-order terms.}

\text{Analyst 2's claim of } n^3/3 + O(Nn^2) \text{ flops is incorrect because it doesn't account for the } N \text{ evaluations.}

\text{Therefore, Analyst 1 is more accurate as it correctly captures the dominant term, but it's incomplete without the lower-order terms.}

\text{I agree with Analyst 1, but with the caveat that the } O(Nn^2) \text{ terms should be acknowledged for a more precise estimation.}
","\text{The key observation is that the matrix } C \text{ does not change with each different point } x_j, \text{ so the Cholesky factorization with a cost of } \frac{n^3}{3} \text{ flops should only be calculated once.}

\text{Thus Analyst 1 is incorrect. Analyst 1 has also incorrectly used the LU factorization requiring } \frac{2n^3}{3} \text{ flops, rather than exploiting the structure of the covariance matrix.}

\text{For each of the } N \text{ points } x_j, j = 1, \ldots, N, \text{ evaluating } f(x_j) \text{ can be done in } O(n^2) \text{ flops, once the Cholesky factorisation has been calculated.}

\text{Thus Analyst 2 is correct.}
",2,1.Misunderstanding of matrix reuse 2.Incorrect choice of factorization 3.Incorrect conclusion 4.Overlooks structural matrix properties
fin-1-i-e,20,"\text{To efficiently calculate } f(x_j) \text{ for } j = 1, \ldots, N, \text{ we first need to precompute the inverse of the covariance matrix } C^{-1} \text{ using LU decomposition, which has a cost of } \frac{2}{3}n^3 + O(n^2) \text{ flops.}

\text{Then, for each } x_j, \text{ we compute } (x_j - \mu)^T C^{-1} (x_j - \mu), \text{ which involves two matrix-vector multiplications and a vector dot product, costing } O(n^2) \text{ flops.}

\text{We also need to compute } \det(C), \text{ which can be obtained as the product of the pivots from the LU decomposition, requiring } O(n) \text{ flops.}

\text{Finally, we compute the exponential and the normalizing factor } \sqrt{(2\pi)^n \det(C)}, \text{ which are } O(1) \text{ operations.}

\text{Since we perform these operations } N \text{ times, the total cost is } \frac{2}{3}n^3 + O(n^2) + NO(n^2) + O(n) + NO(1).

\text{The dominant term is } Nn^2, \text{ making the overall complexity } O(Nn^2).

\text{Therefore, the efficient approach involves precomputing } C^{-1} \text{ and } \det(C) \text{ once, and then performing the } O(n^2) \text{ operations for each } x_j.
","\text{The key steps in evaluating } f(x_j) \text{ for } j = 1, \ldots, N \text{ are}

\begin{itemize}
  \item \text{Calculate the Cholesky factorization } C = R^T R, \text{ where } R \text{ is upper triangular, once.}
  \item \text{Calculate } c_0 = \sqrt{\det(C)} = \sqrt{\det(R^T) \det(R)} = \det(R) = \prod_{j=1}^n R_{jj}
  \item \text{Calculate } c_1 = (2\pi)^{-n/2} / c_0
  \item \text{For each } j = 1, \ldots, N
  \begin{itemize}
    \item \text{Solve } R^T y = (x_j - \mu) \text{ by forward substitution}
    \item \text{Calculate } f(x_j) = c_1 \exp(- y^T y / 2), \text{ where } y^T y = \sum_{i=1}^n y_i^2
  \end{itemize}
\end{itemize}

\text{Only the last two steps are repeated for each value of } j = 1, \ldots, N.

\text{As } C^{-1} = R^{-1} R^{-T},

y^T y = (x_j - \mu)^T R^{-1} R^{-T} (x_j - \mu) = (x_j - \mu)^T C^{-1} (x_j - \mu).
",3,1.Suboptimal matrix inversion strategy 2.Incorrect reuse structure 3.Determinant computation method 4.Flawed computational model 5.No explicit reuse of decomposition in algorithm steps
fin-1-ii-a,21,"\text{The MATLAB output indicates that the Cholesky decomposition of the covariance matrix } C \text{ failed, as } \texttt{posdef} \text{ is 0, implying } C \text{ is not positive definite.}

\text{Furthermore, the determinant of } C \text{ is 0, confirming that } C \text{ is singular.}

\text{The condition number } \texttt{rcond(C)} \text{ is } 2.0128 \times 10^{-10}, \text{ which is very close to zero, suggesting that } C \text{ is ill-conditioned and close to singular.}

\text{Therefore, the matrix } C \text{ is \textbf{not} nonsingular.}
","\text{The matrix } C \text{ is not nonsingular as } \det(C) = 0, \text{ indicating it is singular.}
",3,1.Partial diagnostic reasoning 2.No mention of numerical conditioning 3.No structural interpretation 4.No final consolidated reasoning
fin-1-ii-b,22,"\text{The MATLAB output shows that the Cholesky decomposition of } C \text{ resulted in } \texttt{posdef} = 0.

\text{The Cholesky decomposition can only be computed for positive definite matrices. Since } \texttt{posdef} \text{ is 0, the decomposition failed, indicating that } C \text{ is \textbf{not} positive definite.}
","\text{The second output argument for the MATLAB function } \texttt{chol} \text{ is 0 if and only if the matrix is positive definite.}

\text{Thus as } \texttt{posdef} \text{ has the value 0, } C \text{ is positive definite.}

\text{(If } C \text{ is not positive definite this argument has the index in } \{1, \ldots, n\} \text{ when the Cholesky factorization failed).}
",1,"1.Incorrect interpretation of posdef = 0 2.Misunderstanding of MATLAB chol function behavior 3.Correct general concept, but flawed execution"
fin-1-ii-c,23,"\text{Yes, the answers to parts a) and b) are consistent.}

\text{In part a), we concluded that } C \text{ is not nonsingular (i.e., it is singular) because its determinant is 0.}

\text{In part b), we concluded that } C \text{ is not positive definite because the Cholesky decomposition failed.}

\text{A positive definite matrix must be nonsingular (i.e., its determinant must be non-zero).}

\text{Since } C \text{ is not positive definite, it is consistent that it is also not nonsingular.}

\text{If } C \text{ were positive definite, it would have to be nonsingular, but since it is not positive definite, it can be singular, as confirmed by the determinant being 0.}
","\text{A positive definite matrix has all eigenvalues } \lambda_i > 0, \, i = 1, \ldots, n, \text{ so } \det(C) = \prod_{i=1}^n \lambda_i > 0.

\text{Thus } C \text{ being positive definite contradicts the result that } \det(C) = 0, \text{ so they are not consistent.}

\text{If } n \text{ is large, the product of a large number of small values (but still larger than the machine precision } \epsilon \text{) may underflow to zero.}

\text{MATLAB uses the Cholesky (or LU when the matrix is not symmetric positive definite) factorization to calculate the determinant, so}

\[
\det(C) = \det(R)^2 = \left( \prod_{i=1}^n R_{ii} \right)^2 < \texttt{realmin} \approx 2 \times 10^{-308},
\]

\text{even though } R_{ii} > \epsilon = 2.2 \times 10^{-16} \text{ for all } i = 1, \ldots, n.
",2,1.Answer built on incorrect premise 2.Missed opportunity to discuss machine precision 3.Overly binary reasoning
fin-1-ii-d,24,"\text{The MATLAB output shows that the reciprocal condition number } \texttt{rcond(C)} \text{ is } 2.0128 \times 10^{-10}.

\text{The condition number } \kappa_1(C) \text{ is the reciprocal of } \texttt{rcond(C)}.

\text{Therefore, } \kappa_1(C) = \frac{1}{2.0128 \times 10^{-10}} \approx 4.968 \times 10^9.

\text{A large condition number indicates that the matrix } C \text{ is ill-conditioned, meaning that small changes in the input can lead to large changes in the output.}

\text{Thus, the output tells us that the condition number } \kappa_1(C) \text{ is very large, indicating that } C \text{ is poorly conditioned.}
","\text{The MATLAB function } \texttt{rcond} \text{ gives an estimate of the reciprocal of the 1-norm condition number, so}

\[
\kappa_1(C) = \frac{1}{\texttt{rcond(C)}} = \frac{1}{2.0128 \times 10^{-10}} \approx 5 \times 10^9.
\]

\text{Such a large condition number (on a scale of } 1 = 10^0 \text{ to } 1/\epsilon \approx 5 \times 10^{15}) \text{ indicates the problem is ill-conditioned.}

\text{The condition number must satisfy } \kappa \geq 1. \text{ An answer } \kappa = 4968203497 \text{ is not really sensible, as it contains many more significant figures than the data!}
",4,1.Lack of context about significant digits 2.No reference to the scale of condition numbers 3.No mention of the lower bound
fin-1-ii-e,25,"\text{The condition number } \kappa_1(C) \text{ is approximately } 4.968 \times 10^9.

\text{To achieve 4 significant figures in the solution } x \text{ of } Cx = b, \text{ the relative error in } b \text{ must be smaller than the relative error in } x \text{ divided by the condition number.}

\text{The relative error in } x \text{ is approximately } 10^{-4} \text{ (since we want 4 significant figures).}

\text{Thus, the relative error in } b \text{ must be less than } \frac{10^{-4}}{4.968 \times 10^9} \approx 2.013 \times 10^{-14}.

\text{Therefore, } b \text{ must be accurate to at least 14 significant figures.}
","\text{An estimate of the relative error } \mathrm{re}(x) \text{ in the computed solution to } Cx = b \text{ is}

\[
\mathrm{re}(x) \leq \kappa(C) \left( \mathrm{re}(C) + \mathrm{re}(b) \right).
\]

\text{The same norm should be used to measure the condition number and all the relative errors.}

\text{The computed solution has at least 4 significant figures if}

\[
\kappa(C) \left( \mathrm{re}(C) + \mathrm{re}(b) \right) \leq 0.5 \times 10^{-4}.
\]

\text{As } C \text{ is known exactly, } \mathrm{re}(C) = \epsilon = 2.2 \times 10^{-16}, \text{ so}

\[
\mathrm{re}(b) \leq \frac{0.5 \times 10^{-4}}{\kappa(C)} - \epsilon = \frac{0.5 \times 10^{-4}}{5 \times 10^9} - 2 \times 10^{-16} \approx 10^{-14}.
\]

\text{The required relative error in } b \text{ is } 10^{-14} < 0.5 \times 10^{-13}, \text{ so } b \text{ should have elements with at least 13 significant figures.}

\text{This may (just) be possible when using double precision floating point arithmetic, but is not possible if only single precision arithmetic is used.}
",4,1.Missing full relative error bound formula 2.Omission of machine precision 3.No discussion of feasibility 4.Norm-related caution is absent
fin-1-iii-a,26,"\text{To prove that } B \text{ is positive definite, we need to show that } u^T B u > 0 \text{ for any non-zero vector } u.

\text{Substituting the expression for } B, \text{ we have }

u^T B u = u^T \left(C + \sum_{k=1}^{K} \alpha_k v_k v_k^T \right) u = u^T C u + \sum_{k=1}^{K} \alpha_k (u^T v_k)(v_k^T u).

\text{Since } C \text{ is positive definite, } u^T C u > 0 \text{ for all non-zero } u.

\text{Also, } \alpha_k \geq 0 \text{ and } (u^T v_k)(v_k^T u) = (u^T v_k)^2 \geq 0 \text{ for all } k.

\text{Therefore, } u^T B u \text{ is the sum of a positive term and non-negative terms, which implies } u^T B u > 0 \text{ for all non-zero } u.

\text{Hence, } B \text{ is positive definite.}
","\text{The matrix } B \text{ is positive definite } \iff u^T B u > 0 \text{ for all } u \in \mathbb{R}^n, u \ne 0.

\text{Here }

\[
u^T B u = u^T \left( C + \sum_{k=1}^K \alpha_k v_k v_k^T \right) u = u^T C u + \sum_{k=1}^K \alpha_k (u^T v_k)(v_k^T u).
\]

\text{As } u, v_k \in \mathbb{R}^n, v_k^T u = u^T v_k \text{ as they are both scalars, so the sum is }

\[
\sum_{k=1}^K \alpha_k (u^T v_k)(v_k^T u) = \sum_{k=1}^K \alpha_k (u^T v_k)^2 \geq 0,
\]

\text{as } \alpha_k \geq 0 \text{ for } k = 1, \ldots, K.

\text{As } C \text{ is positive definite, } u^T C u > 0 \text{ for all } u \ne 0, \text{ so } u^T B u > 0 \text{ for all } u \ne 0 \text{ and } B \text{ is positive definite.}
",5,1.Minor omission of notation context
